flowId,label,domain,owner_surface,visible_surfaces,route_screen_component,source_file,reachable,duplicate,contradiction,hidden_compat,should_be_visible,should_be_on_demand,current_on_demand_status,notes
dsh-captain-bell,dsh captain bell,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-captain-detail,dsh captain detail,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,4 refs across 2 files
dsh-captain-entry,dsh captain entry,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,4 refs across 2 files
dsh-captain-home,dsh captain home,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,7 refs across 2 files
dsh-captain-inbox,dsh captain inbox,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,7 refs across 2 files
dsh-captain-map,dsh captain map,order/delivery,shared/multi,app-captain|dsh-docs,dsh/docs/closure/DSH_DUPLICATE_DEAD_NOISE_CANDIDATES.csv | dsh/docs/closure/DSH_LOOP_4_EVIDENCE.md | dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/docs/closure/DSH_DUPLICATE_DEAD_NOISE_CANDIDATES.csv,TBD,yes,TBD,no,TBD,yes,TBD,5 refs across 4 files
dsh-captain-order-chat,dsh captain order chat,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-captain-pickup-dropoff,dsh captain pickup dropoff,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,4 refs across 2 files
dsh-captain-pod-submission,dsh captain pod submission,order/delivery,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-captain-support-directory,dsh captain support directory,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,4 refs across 2 files
dsh-captain-support-screen,dsh captain support screen,support/communication,app-captain,app-captain,dsh/frontend/app-captain/dsh-captain.routes.ts | dsh/frontend/app-captain/dsh-captain.screen-registry.ts,dsh/frontend/app-captain/dsh-captain.routes.ts,TBD,yes,TBD,no,TBD,yes,TBD,3 refs across 2 files
dsh-client,dsh client,other,dsh-docs,dsh-docs,dsh/docs/archive/dsh-client-final-classification.csv,dsh/docs/archive/dsh-client-final-classification.csv,TBD,no,TBD,no,TBD,TBD,TBD,49 refs across 1 files
dsh-delivery-active,dsh delivery active,order/delivery,app-client,app-client,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,dsh/frontend/app-client/screens/OrdersTrackingScreens.tsx,TBD-static-refs,no,TBD,no,TBD,yes,TBD,2 refs across 1 files
